Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2)
5.335203400E1,2.180160522E0,9.238986969E0,1.453639716E-1
5.336192130E1,1.176969647E0,9.167202950E0,3.586242795E-1
5.337180864E1,3.738785535E-2,8.839385986E0,9.547362328E-1
5.338169593E1,-6.855437160E-1,8.681160927E0,1.071984529E0
5.339158322E1,-1.995015889E-1,8.688339233E0,1.048056364E0
5.340147052E1,1.186540961E0,8.772386551E0,6.002993584E-1
5.341135786E1,2.556132793E0,8.872885704E0,2.413759828E-1
5.342124515E1,3.168994427E0,8.822636604E0,2.051845491E-1
5.343113244E1,2.819343328E0,8.614161491E0,5.931209326E-1
5.344101973E1,2.060519457E0,8.499305725E0,1.079162955E0
5.345090708E1,1.102792144E0,8.441878319E0,1.483849168E0
5.346079437E1,1.495514181E-3,8.556734085E0,1.914856315E0
5.347068166E1,-1.348654628E0,8.659625053E0,2.139781713E0
5.348056901E1,-2.318346024E0,8.815457344E0,2.271386862E0
5.349045630E1,-2.428415775E0,8.956634521E0,2.044068813E0
5.350034359E1,-1.698305845E0,9.054739952E0,1.668096542E0
5.351023088E1,-7.453642488E-1,9.033205032E0,1.596311808E0
5.352011822E1,-3.361915946E-1,8.927920341E0,1.577169180E0
5.353000552E1,-4.534398913E-1,8.882456779E0,1.830808401E0
5.353989281E1,-9.562317729E-1,8.796315193E0,2.426920414E0
5.354978010E1,-1.514058471E0,8.494520187E0,3.217149973E0
5.355966744E1,-1.760519266E0,8.216953278E0,3.420539856E0
5.356955473E1,-1.813161373E0,8.147261620E0,3.753441334E0
5.357944203E1,-1.844268084E0,8.077870369E0,3.837190151E0
5.358932937E1,-1.913659930E0,7.896015644E0,3.332005501E0
5.359921666E1,-2.102992058E0,7.649554729E0,2.831606388E0
5.360910395E1,-2.186740875E0,7.560721397E0,2.436491728E0
5.361899130E1,-2.236989975E0,7.582256794E0,2.233101845E0
5.362887859E1,-2.452344179E0,7.683054447E0,2.060818434E0
5.363876588E1,-2.524427891E0,7.955836296E0,1.665703654E0
5.364865317E1,-2.294417858E0,8.183453560E0,1.538884044E0
5.365854052E1,-2.107777596E0,8.341380119E0,1.507777333E0
5.366842781E1,-2.320738792E0,8.336593628E0,1.605883121E0
5.367831510E1,-2.720639229E0,8.171489716E0,1.684846282E0
5.368820239E1,-2.782852650E0,7.867301941E0,1.680060625E0
