"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.984252517E0,1.453440189E0,-8.964262009E-1,-2.253546715E-1
2.994139600E0,1.400111437E0,-4.807853699E-1,3.462789059E-1
3.004026736E0,1.147918820E0,-1.974859238E-1,3.184814453E-1
3.013913819E0,7.508510351E-1,-1.989231110E-1,4.226603508E-1
3.023800954E0,2.520453930E-1,-4.995718002E-1,5.932893753E-1
3.033688038E0,-1.297469139E-1,-7.485313416E-1,5.382997990E-1
3.043575173E0,-2.833032608E-1,-8.700828552E-1,1.846706867E-1
3.053462257E0,-5.093979836E-2,-7.168035507E-1,-2.251359224E-1
3.063349392E0,4.673554897E-1,-4.228658676E-1,-5.168975592E-1
3.073236475E0,1.044583797E0,-5.996322632E-2,-8.680437803E-1
3.083123611E0,1.272572517E0,3.104724884E-1,-1.620192528E-1
3.093010694E0,8.477957249E-1,8.523960114E-1,1.016778708E0
3.102897829E0,1.728510857E-2,1.334756851E0,1.817746162E0
3.112784913E0,-3.169124126E-1,1.466199875E0,1.842765570E0
3.122672048E0,8.924221992E-2,1.305878639E0,1.980134726E0
3.132559132E0,6.694574356E-1,1.360046387E0,1.761030912E0
3.142446267E0,9.216791391E-1,1.444266319E0,1.762654781E0
3.152333350E0,3.164042234E-1,1.302885056E0,2.017837048E0
3.162220486E0,-8.769748211E-1,1.466075897E0,2.569229841E0
3.172107569E0,-1.292731881E0,2.258787155E0,2.552029133E0
3.181994704E0,-3.638467789E-1,2.698418617E0,1.178875923E0
3.191881788E0,1.047601581E0,2.557529449E0,2.252905369E-1
3.201768923E0,1.899211645E0,1.926709175E0,-8.116145134E-1
3.211656007E0,1.930023909E0,1.190877914E0,-1.332714438E0
3.221543142E0,1.451864600E0,6.652336121E-1,-1.458761096E0
3.231430225E0,9.279835820E-1,5.981130600E-1,-1.271276474E0
3.241317361E0,3.188308477E-1,7.452049255E-1,-1.059592009E0
3.251204444E0,-2.694892883E-1,7.417058945E-1,-1.025607467E0
3.261091579E0,-7.031322718E-1,5.847282410E-1,-8.476659656E-1
3.270978663E0,-1.015311718E0,3.744659424E-1,-6.100786924E-1
3.280865798E0,-1.232863069E0,-4.403781891E-2,-5.127384663E-1
3.290752934E0,-1.464577079E0,-4.837713242E-1,-3.511031866E-1
3.300640017E0,-1.681745291E0,-9.133615494E-1,-2.141213417E-1
3.310527100E0,-1.814137220E0,-1.184413910E0,-4.496037960E-2
3.320414236E0,-1.879551530E0,-1.177645683E0,1.155483723E-1
3.330301319E0,-2.095144272E0,-1.132753372E0,5.228645802E-1
3.340188454E0,-2.360823154E0,-1.188654900E0,8.190621138E-1
3.350075538E0,-2.192792416E0,-1.005843163E0,9.563103914E-1
3.359962673E0,-1.251857519E0,-5.362863541E-1,7.522444725E-1
3.369849809E0,-2.036277056E-1,-1.546325684E-1,2.708489895E-1
3.379736892E0,4.863378704E-1,-9.198474884E-2,-2.992639542E-1
3.389624027E0,7.417316437E-1,-2.208919525E-1,-8.852311969E-1
3.399511111E0,6.334354281E-1,-4.216375351E-1,-1.049401999E0
3.409398246E0,3.385836780E-1,-5.799531937E-1,-9.792345762E-1
3.419285329E0,5.560984462E-2,-5.221433640E-1,-7.960041165E-1
3.429172465E0,1.261721924E-2,-2.800559998E-1,-5.759528279E-1
3.439059548E0,1.636964828E-1,-9.307479858E-2,-5.508102179E-1
3.448946684E0,6.063076854E-1,2.269849777E-1,-2.005749941E-1
3.458833767E0,8.010655046E-1,4.911136627E-1,-1.908035278E-1
3.468720902E0,7.086549997E-1,5.089836121E-1,-2.791649699E-1
3.478607986E0,5.457228422E-1,2.720441818E-1,1.649912596E-1
3.488495121E0,2.036297023E-1,-1.614913940E-1,2.967532873E-1
3.498382204E0,8.392018080E-2,-3.637819290E-1,3.201533556E-1
